"i","Result.1","Result.2","Result.3"
1,0.460454359787982,0.540788690852933,0.177009545012843
1,0.549751547765918,0.754106263141148,0.770958668766543
1,0.152271666750312,0.0415776514424942,0.804092631519306
1,0.856863664987031,0.916946794446558,0.21813457951881
1,0.125441482441965,0.684247389652301,0.345622853590176
1,0.183348126027267,0.0295951389311813,0.401982817889657
1,0.936548070784193,0.933637008420192,0.612102459447924
1,0.215460583919194,0.972467116827611,0.41541814441327
1,0.303964626537636,0.653691326763947,0.501713488055393
1,0.507283823869657,0.131469522756524,0.864436950532254
1,0.802701175329275,0.836040699759033,0.532176890205592
1,0.797616879811976,0.12628557223361,0.753400515737012
1,0.64644459330244,0.670287923514843,0.313771889139898
1,0.419387852849904,0.449676316969562,0.268192936400883
1,0.886602217454929,0.11930423284648,0.628493449650705
1,0.605385026761796,0.508168599691708,0.278024642250966
1,0.117007022702601,0.426784594305791,0.451983310093638
1,0.626049230580684,0.207767657143995,0.134658212065697
1,0.344086039569229,0.100151074370369,0.471753227654845
1,0.448070256172214,0.55297054321738,0.887921487118583
1,0.671608039743733,0.698016885730904,0.980660568859894
1,0.133247859706171,0.43104380993871,0.586229296762031
1,0.374768015521113,0.48737667709589,0.185543426105287
1,0.190516329205129,0.37476925553754,0.0107742126355879
1,0.0789317958871834,0.157172119657043,0.398091098826844
1,0.74868009785423,0.516601156650577,0.151945334929042
1,0.630686718875077,0.828435282050632,0.949418102144264
1,0.78942206680309,0.560276721108239,0.334720476802904
1,0.86659304069588,0.404085871016141,0.557440141185652
1,0.83954980259994,0.585807214535307,0.289659739523195
1,0.283383651066106,0.289206550193485,0.72117308357032
1,0.0400855368631892,0.767474896092899,0.57995625276817
1,0.172093503049109,0.925344341106247,0.190419665160589
1,0.386350913366769,0.172881419754121,0.742960730555933
1,0.432085128412582,0.00665908565511927,0.979227287080139
1,0.234393254506867,0.898661328786984,0.654737269412726
1,0.513254637424834,0.612943366854452,0.565158956022933
1,0.823634762682486,0.78015521440655,0.833956464778166
1,0.42923432309879,0.700451948493719,0.527805506589357
1,0.318288855100982,0.773524827696383,0.0420949813374318
1,0.393483360195532,0.260797348804772,0.0876831104676239
1,0.0313304551295005,0.647407233898994,0.684903416617308
1,0.984512576200068,0.988455048319884,0.849207522408105
1,0.365830438337289,0.737056229631416,0.855553085424472
1,0.20921151566552,0.291996399653144,0.427474828811828
1,0.899774019657634,0.990269934390672,0.233341138523538
1,0.922964647808112,0.520886016881559,0.374167356551625
1,0.00335992766311392,0.310773389083333,0.511835766618606
1,0.96158011155203,0.181874591063242,0.630930177576374
1,0.271762447592337,0.873151592230424,0.919911710342858
1,0.0503463961440139,0.393042849735357,0.819498223951086
1,0.0863175827194937,0.968170694939327,0.663906092096586
1,0.487718728643376,0.791615710183978,0.951403942531906
1,0.526467507209163,0.453780136324931,0.767353489927482
1,0.696955044704955,0.0652729681506753,0.485879219009075
1,0.470037351611536,0.0715775865246542,0.325488624309655
1,0.401601295298897,0.627545745137613,0.901987981994171
1,0.102880955482833,0.227019200650975,0.037833805566188
1,0.686201510038227,0.256054283706471,0.731461863091681
1,0.354353823789861,0.192577319110278,0.871691982496996
1,0.592767403158359,0.886260074474849,0.364850464877672
1,0.324380186800845,0.271595079067629,0.121591457321774
1,0.583192563396879,0.0939973108610138,0.0902149836090393
1,0.704590864274651,0.950990359780844,0.106572653590702
1,0.722267243044917,0.350272803450935,0.67535279041389
1,0.0612054438469931,0.41507799328072,0.386966677093878
1,0.909383428944275,0.803362140010577,0.494334583359305
1,0.735757079019677,0.218650644931477,0.00283038455992937
1,0.767763272775337,0.63853081288049,0.168571506557055
1,0.292590707789641,0.859974468396977,0.961271656132303
1,0.992205477021635,0.321859314457979,0.0630357077135704
1,0.0293578413454816,0.0323469346947968,0.82875770292012
1,0.914590383544564,0.729394104129169,0.297860404085368
1,0.228106733120512,0.389676193539053,0.203063290286809
1,0.149506832889747,0.669391115028411,0.354532781033777
1,0.493605872569606,0.94317237570649,0.144930743309669
1,0.243266603974625,0.0122914835065603,0.794913648418151
1,0.339584126560949,0.746575583769009,0.714229846906383
1,0.0111156661366113,0.492608209711034,0.463735788196791
1,0.619444814464077,0.4700837791292,0.705259561387356
1,0.167713053054176,0.571452456715051,0.998892174777575
1,0.250644089621492,0.816154608794022,0.056136233555153
1,0.098265358179342,0.907301967549138,0.433538054481614
